trend, trendClass, trendLength, tokensPerTweet, mentionsPerTweet, hashTagsPerTweet, tweetsWithUrl, tweetsWithReplies, retweetsPerTweet, favoritesPerTweet, urlsPerTweet, mediasPerTweet, tweetsPerUser, uniqueUsersCount, userStatusesPerUser, listedUsersPerUser, userFollowersPerUser, userFriendsPerUser, avgVerifiedUsers
mindthegap_March_3_3,  Event,  10,  7.666666666666667,  0.2761904761904762,  1.5333333333333334,  0.0761904761904762,  0.09523809523809523,  0.0,  0.0,  0.0761904761904762,  0.009523809523809525,  1.8421052631578947,  57,  9405.105263157895,  31.68421052631579,  2317.6491228070176,  1824.4561403508771,  0.0
vfestival_March_3_3,  Event,  9,  5.258503401360544,  0.7278911564625851,  1.0680272108843538,  0.11564625850340136,  0.17687074829931973,  0.0,  0.0,  0.11564625850340136,  0.19047619047619047,  1.1307692307692307,  130,  6953.6,  1.4307692307692308,  409.7769230769231,  535.0076923076923,  0.0
12yearsaslave_March_3_3,  Event,  13,  6.181818181818182,  0.26262626262626265,  2.474747474747475,  0.050505050505050504,  0.10101010101010101,  0.0,  0.0,  0.050505050505050504,  0.06060606060606061,  1.1785714285714286,  84,  8187.214285714285,  6.0476190476190474,  721.7857142857143,  748.3214285714286,  0.0
happymonday_March_3_3,  Meme,  11,  5.472,  0.424,  1.6,  0.064,  0.12,  0.0,  0.0,  0.064,  0.184,  1.016260162601626,  123,  4900.130081300813,  5.105691056910569,  652.8780487804878,  681.0650406504066,  0.0
oneborn_March_3_3,  Event,  7,  5.649635036496351,  0.16058394160583941,  1.364963503649635,  0.014598540145985401,  0.043795620437956206,  0.0,  0.0,  0.014598540145985401,  0.021897810218978103,  1.4123711340206186,  97,  6023.773195876289,  2.8556701030927836,  466.08247422680415,  539.7525773195877,  0.0
help5yearoldmarleywalk_March_3_3,  Meme,  22,  7.022222222222222,  1.7444444444444445,  1.0,  0.0,  1.0,  0.0,  0.0,  0.0,  0.0,  90.0,  1,  3910.0,  7.0,  1718.0,  1716.0,  0.0
vfestival2014_March_3_3,  Event,  13,  4.329411764705882,  0.6,  1.5529411764705883,  0.023529411764705882,  0.12941176470588237,  0.0,  0.0,  0.023529411764705882,  0.10588235294117647,  1.118421052631579,  76,  4571.289473684211,  2.1842105263157894,  535.3947368421053,  494.05263157894734,  0.0
followmehayes_March_3_3,  Meme,  13,  1.2650602409638554,  1.1204819277108433,  2.1927710843373496,  0.0,  0.9518072289156626,  0.0,  0.0,  0.0,  0.024096385542168676,  20.75,  4,  4585.25,  2.75,  999.0,  1337.25,  0.0
bbloggers_March_3_3,  Meme,  9,  5.964285714285714,  0.48214285714285715,  2.267857142857143,  0.625,  0.16071428571428573,  0.0,  0.0,  0.625,  0.16071428571428573,  1.75,  32,  7735.8125,  9.40625,  708.09375,  643.5625,  0.0
hayesto400k_March_3_3,  Meme,  11,  1.3855421686746987,  1.108433734939759,  2.1927710843373496,  0.0,  0.9397590361445783,  0.0,  0.0,  0.0,  0.024096385542168676,  20.75,  4,  4585.25,  2.75,  999.0,  1337.25,  0.0
